2025-10-01 10:24:47,688 | INFO | WhisperSTT | WhisperSTT client initialized. Calling localhost ASR service.
2025-10-01 10:25:56,917 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-01 10:25:57,010 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-01 10:25:59,254 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-01 10:25:59,522 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-01 10:25:59,649 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-01 10:26:02,095 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-01 10:26:02,318 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 07:48:51,862 | INFO | WhisperSTT | WhisperSTT client initialized. Calling localhost ASR service.
2025-10-03 07:48:51,862 | DEBUG | TTSService | Playback thread started
2025-10-03 07:48:51,862 | INFO | ConversationManager | Conversation manager started. Press ENTER to record, 'q' to quit.
2025-10-03 07:50:35,782 | INFO | ConversationManager | User: alo alo
2025-10-03 07:50:35,782 | DEBUG | RAGClient | Sending to RAG webhook (attempt 1): http://127.0.0.1:7000/chat
2025-10-03 07:50:35,789 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:7000
2025-10-03 07:50:37,663 | DEBUG | urllib3.connectionpool | http://127.0.0.1:7000 "POST /chat HTTP/1.1" 200 318
2025-10-03 07:50:37,665 | INFO | RAGClient | RAG reply (len=98)
2025-10-03 07:50:37,665 | INFO | ConversationManager | Bot: Chào bạn trẻ! Tôi là Tiến sĩ Kiến Thức, rất vui được trò chuyện cùng bạn. Bạn cần tôi giúp gì nào?
2025-10-03 07:50:37,665 | DEBUG | TTSService | Starting TTS download for text length=98
2025-10-03 07:50:37,672 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-03 07:50:42,165 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 07:50:43,748 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 07:53:41,689 | INFO | ConversationManager | User: alo alo
2025-10-03 07:53:41,689 | DEBUG | RAGClient | Sending to RAG webhook (attempt 1): http://127.0.0.1:7000/chat
2025-10-03 07:53:41,690 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:7000
2025-10-03 07:53:43,345 | DEBUG | urllib3.connectionpool | http://127.0.0.1:7000 "POST /chat HTTP/1.1" 200 318
2025-10-03 07:53:43,345 | INFO | RAGClient | RAG reply (len=98)
2025-10-03 07:53:43,345 | INFO | ConversationManager | Bot: Chào bạn trẻ! Tôi là Tiến sĩ Kiến Thức, rất vui được trò chuyện cùng bạn. Bạn cần tôi giúp gì nào?
2025-10-03 07:53:43,349 | DEBUG | TTSService | Starting TTS download for text length=98
2025-10-03 07:53:43,350 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-03 07:53:45,171 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 07:53:45,298 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 07:53:45,607 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 07:54:22,259 | INFO | ConversationManager | User: chào ông
2025-10-03 07:54:22,259 | DEBUG | RAGClient | Sending to RAG webhook (attempt 1): http://127.0.0.1:7000/chat
2025-10-03 07:54:22,260 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:7000
2025-10-03 07:54:23,024 | DEBUG | urllib3.connectionpool | http://127.0.0.1:7000 "POST /chat HTTP/1.1" 200 304
2025-10-03 07:54:23,026 | INFO | RAGClient | RAG reply (len=91)
2025-10-03 07:54:23,027 | INFO | ConversationManager | Bot: Chào bạn! Rất vui được gặp bạn. Bạn có câu hỏi gì muốn hỏi Tiến sĩ Kiến Thức này không nào?
2025-10-03 07:54:23,027 | DEBUG | TTSService | Starting TTS download for text length=91
2025-10-03 07:54:23,027 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-03 07:54:25,762 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 07:54:26,045 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 07:58:19,011 | INFO | ConversationManager | Interrupted by user
2025-10-03 07:58:31,794 | INFO | WhisperSTT | WhisperSTT client initialized. Calling localhost ASR service.
2025-10-03 07:58:31,794 | DEBUG | TTSService | Playback thread started
2025-10-03 07:58:31,794 | INFO | ConversationManager | Conversation manager started. Press ENTER to record, 'q' to quit.
2025-10-03 07:59:12,544 | INFO | ConversationManager | User: alo  alo
2025-10-03 07:59:12,545 | DEBUG | RAGClient | Sending to RAG webhook (attempt 1): http://127.0.0.1:7000/chat
2025-10-03 07:59:12,548 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:7000
2025-10-03 07:59:17,116 | DEBUG | urllib3.connectionpool | http://127.0.0.1:7000 "POST /chat HTTP/1.1" 200 537
2025-10-03 07:59:17,124 | INFO | RAGClient | RAG reply (len=191)
2025-10-03 07:59:17,124 | INFO | ConversationManager | Bot: Chào bạn trẻ! Tôi là Tiến sĩ Kiến Thức, rất vui được trò chuyện cùng bạn. Bạn có câu hỏi gì muốn hỏi tôi không? Đừng ngại nhé, tôi ở đây để giúp bạn khám phá thế giới tri thức rộng lớn này! 😊
2025-10-03 07:59:17,126 | DEBUG | TTSService | Starting TTS download for text length=191
2025-10-03 07:59:17,129 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-03 07:59:22,162 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 07:59:22,514 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 07:59:22,614 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-03 07:59:26,505 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 07:59:26,791 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 08:01:38,277 | INFO | ConversationManager | User: cháu chào ông
2025-10-03 08:01:38,278 | DEBUG | RAGClient | Sending to RAG webhook (attempt 1): http://127.0.0.1:7000/chat
2025-10-03 08:01:38,278 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:7000
2025-10-03 08:01:39,913 | DEBUG | urllib3.connectionpool | http://127.0.0.1:7000 "POST /chat HTTP/1.1" 200 498
2025-10-03 08:01:39,914 | INFO | RAGClient | RAG reply (len=177)
2025-10-03 08:01:39,914 | INFO | ConversationManager | Bot: Chào cháu! Ông là Tiến sĩ Kiến Thức đây, rất vui được gặp cháu. Cháu có điều gì muốn hỏi ông không? Đừng ngại ngùng nhé, ông luôn sẵn lòng chia sẻ kiến thức của mình với cháu. 😊
2025-10-03 08:01:39,914 | DEBUG | TTSService | Starting TTS download for text length=177
2025-10-03 08:01:39,916 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-03 08:01:46,265 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 08:01:46,715 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 08:01:46,807 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-03 08:01:50,040 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 08:01:50,659 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 08:05:27,741 | INFO | ConversationManager | User: alo alo
2025-10-03 08:05:27,745 | DEBUG | RAGClient | Sending to RAG webhook (attempt 1): http://127.0.0.1:7000/chat
2025-10-03 08:05:27,745 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:7000
2025-10-03 08:05:28,611 | DEBUG | urllib3.connectionpool | http://127.0.0.1:7000 "POST /chat HTTP/1.1" 200 316
2025-10-03 08:05:28,611 | INFO | RAGClient | RAG reply (len=98)
2025-10-03 08:05:28,618 | INFO | ConversationManager | Bot: Chào bạn trẻ! Tôi là Tiến sĩ Kiến Thức, rất vui được trò chuyện cùng bạn. Bạn cần tôi giúp gì nào?
2025-10-03 08:05:28,620 | DEBUG | TTSService | Starting TTS download for text length=98
2025-10-03 08:05:28,621 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-03 08:05:30,270 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 08:05:30,524 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 08:05:50,089 | INFO | ConversationManager | User: alo ạ
2025-10-03 08:05:50,089 | DEBUG | RAGClient | Sending to RAG webhook (attempt 1): http://127.0.0.1:7000/chat
2025-10-03 08:05:50,094 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:7000
2025-10-03 08:05:51,863 | DEBUG | urllib3.connectionpool | http://127.0.0.1:7000 "POST /chat HTTP/1.1" 200 360
2025-10-03 08:05:51,863 | INFO | RAGClient | RAG reply (len=109)
2025-10-03 08:05:51,863 | INFO | ConversationManager | Bot: Chào bạn! Tôi là Tiến sĩ Kiến Thức đây. Bạn cần tôi giúp gì nào? Có điều gì thú vị bạn muốn tìm hiểu không? 😊
2025-10-03 08:05:51,865 | DEBUG | TTSService | Starting TTS download for text length=109
2025-10-03 08:05:51,865 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-03 08:05:54,167 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 08:05:55,217 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 08:05:55,820 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 08:06:13,281 | INFO | ConversationManager | User: cháu chào ông
2025-10-03 08:06:13,281 | DEBUG | RAGClient | Sending to RAG webhook (attempt 1): http://127.0.0.1:7000/chat
2025-10-03 08:06:13,281 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:7000
2025-10-03 08:06:14,680 | DEBUG | urllib3.connectionpool | http://127.0.0.1:7000 "POST /chat HTTP/1.1" 200 406
2025-10-03 08:06:14,680 | INFO | RAGClient | RAG reply (len=135)
2025-10-03 08:06:14,680 | INFO | ConversationManager | Bot: Chào cháu! Ông là Tiến sĩ Kiến Thức đây. Cháu có điều gì muốn hỏi ông không? Ông sẵn sàng chia sẻ mọi kiến thức mình có cho cháu đây! 😊
2025-10-03 08:06:14,687 | DEBUG | TTSService | Starting TTS download for text length=135
2025-10-03 08:06:14,688 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-03 08:06:20,971 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 08:06:22,620 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 08:06:23,248 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 08:08:08,342 | INFO | ConversationManager | User: alo alo
2025-10-03 08:08:08,343 | DEBUG | RAGClient | Sending to RAG webhook (attempt 1): http://127.0.0.1:7000/chat
2025-10-03 08:08:08,344 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:7000
2025-10-03 08:08:10,385 | WARNING | RAGClient | RAG request failed (attempt 1). Error: HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /chat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000026193163690>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2025-10-03 08:08:11,386 | DEBUG | RAGClient | Sending to RAG webhook (attempt 2): http://127.0.0.1:7000/chat
2025-10-03 08:08:11,388 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:7000
2025-10-03 08:08:13,428 | WARNING | RAGClient | RAG request failed (attempt 2). Error: HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /chat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000261931993D0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2025-10-03 08:08:15,429 | DEBUG | RAGClient | Sending to RAG webhook (attempt 3): http://127.0.0.1:7000/chat
2025-10-03 08:08:15,431 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:7000
2025-10-03 08:08:16,502 | DEBUG | urllib3.connectionpool | http://127.0.0.1:7000 "POST /chat HTTP/1.1" 200 318
2025-10-03 08:08:16,508 | INFO | RAGClient | RAG reply (len=98)
2025-10-03 08:08:16,509 | INFO | ConversationManager | Bot: Chào bạn trẻ! Tôi là Tiến sĩ Kiến Thức, rất vui được trò chuyện cùng bạn. Bạn cần tôi giúp gì nào?
2025-10-03 08:08:16,510 | DEBUG | TTSService | Starting TTS download for text length=98
2025-10-03 08:08:16,510 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-03 08:08:17,901 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 08:08:18,140 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 08:08:44,020 | INFO | ConversationManager | User: cháu chào ông
2025-10-03 08:08:44,021 | DEBUG | RAGClient | Sending to RAG webhook (attempt 1): http://127.0.0.1:7000/chat
2025-10-03 08:08:44,021 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:7000
2025-10-03 08:08:45,204 | DEBUG | urllib3.connectionpool | http://127.0.0.1:7000 "POST /chat HTTP/1.1" 200 329
2025-10-03 08:08:45,204 | INFO | RAGClient | RAG reply (len=99)
2025-10-03 08:08:45,204 | INFO | ConversationManager | Bot: Chào cháu! Ông là Tiến sĩ Kiến Thức đây, rất vui được gặp cháu. Cháu có điều gì muốn hỏi ông không?
2025-10-03 08:08:45,204 | DEBUG | TTSService | Starting TTS download for text length=99
2025-10-03 08:08:45,204 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-03 08:08:46,552 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 08:08:46,813 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 08:11:42,877 | INFO | ConversationManager | User: alo alo
2025-10-03 08:11:42,877 | DEBUG | RAGClient | Sending to RAG webhook (attempt 1): http://127.0.0.1:7000/chat
2025-10-03 08:11:42,885 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:7000
2025-10-03 08:11:44,616 | DEBUG | urllib3.connectionpool | http://127.0.0.1:7000 "POST /chat HTTP/1.1" 200 249
2025-10-03 08:11:44,616 | INFO | RAGClient | RAG reply (len=69)
2025-10-03 08:11:44,621 | INFO | ConversationManager | Bot: Alo alo cháu ơi! Ông Tiến sĩ Giấy đây, có gì vui mà cháu gọi ông thế?
2025-10-03 08:11:44,621 | DEBUG | TTSService | Starting TTS download for text length=69
2025-10-03 08:11:44,621 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-03 08:11:56,602 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 08:11:56,916 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 15:44:41,451 | INFO | ConversationManager | User: alo alo
2025-10-03 15:44:41,454 | DEBUG | RAGClient | Sending to RAG webhook (attempt 1): http://127.0.0.1:7000/chat
2025-10-03 15:44:41,467 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:7000
2025-10-03 16:00:07,319 | INFO | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2025-10-03 16:00:07,319 | INFO | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: hiieu/halong_embedding
2025-10-03 16:00:12,017 | INFO | WhisperSTT | WhisperSTT client initialized. Calling localhost ASR service.
2025-10-03 16:00:12,022 | DEBUG | TTSService | Playback thread started
2025-10-03 16:00:12,022 | INFO | ConversationManager | Conversation manager started. Press ENTER to record, 'q' to quit.
2025-10-03 16:00:16,083 | INFO | faiss.loader | Loading faiss with AVX2 support.
2025-10-03 16:00:16,595 | INFO | faiss.loader | Successfully loaded faiss with AVX2 support.
2025-10-03 16:00:22,724 | INFO | ConversationManager | User: alo ạ
2025-10-03 16:00:22,724 | DEBUG | RAGClient | Sending to RAG webhook (attempt 1): http://127.0.0.1:7000/chat
2025-10-03 16:00:22,732 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:7000
2025-10-03 16:00:24,429 | DEBUG | urllib3.connectionpool | http://127.0.0.1:7000 "POST /chat HTTP/1.1" 200 363
2025-10-03 16:00:24,439 | INFO | RAGClient | RAG reply (len=128)
2025-10-03 16:00:24,439 | INFO | ConversationManager | Bot: Ôi chào cháu, ông là Tiến sĩ Giấy đây. Hôm nay Trung Thu ở Bảo tàng vui lắm đúng không cháu? Có gì hay ho muốn hỏi ông không nè?
2025-10-03 16:00:24,439 | DEBUG | TTSService | Starting TTS download for text length=128
2025-10-03 16:00:24,439 | DEBUG | asyncio | Using proactor: IocpProactor
